,name,content
0,락토핏 골드 1통 (50일분),맛있어요 잘 먹고있어요 
1,락토핏 골드 1통 (50일분),락토핏 골드 정말 좋아요.
2,락토핏 골드 1통 (50일분),락토핏 골드 정말 좋아요.
3,락토핏 골드 1통 (50일분),락토핏 골드 정말 좋아요.
4,락토핏 골드 1통 (50일분),락토핏 골드 정말 좋아요.
5,락토핏 골드 1통 (50일분),"믿고먹는 랏토핏
잘먹겠습니다"
6,락토핏 골드 1통 (50일분),매번 먹는 제품 믿고 구매합니다
7,락토핏 골드 1통 (50일분),매번 먹는 제품 믿고 구매합니다
8,락토핏 골드 1통 (50일분),"항상 먹던 제품이라 구매했습니다
맛도 포도향? 나고 무난히 먹기 좋습니다
먹고나서 나쁜점은 굳이 없어서 꾸준히 먹고 있습니다"
9,락토핏 골드 1통 (50일분),잘먹었습닏  ㅡㅏ ㅎ
10,락토핏 골드 1통 (50일분),우리집 공식 유산균이에요 매일아침마다 먹고 있어요
11,락토핏 골드 1통 (50일분),항상잘먹고있어요~~감사합니다
12,락토핏 골드 1통 (50일분),굿 늘 먹던거라 좋아요
13,락토핏 골드 1통 (50일분),감사합니다. 잘 먹고있어요~~
14,락토핏 골드 1통 (50일분),유산균은 기본템이죠~~~
15,락토핏 골드 1통 (50일분),잘먹고잇어요 감사합니다
16,락토핏 골드 1통 (50일분),유산균 필요했는데 싸게 구매해서 좋아요
17,락토핏 골드 1통 (50일분),"온가족먹기 좋아요
좀 달긴한데 아이들도 잘 먹네요"
18,락토핏 골드 1통 (50일분),"온가족먹기 좋아요
좀 달긴한데 아이들도 잘 먹네요"
19,락토핏 골드 1통 (50일분),"온가족먹기 좋아요
좀 달긴한데 아이들도 잘 먹네요"
20,락토핏 골드 1통 (50일분),감사합니다 락토핏만먹어요 배송짱이예요 또 주문할게요 
21,락토핏 골드 1통 (50일분),락토핏 좋아요 꾸준히 먹는제품입니다
22,락토핏 골드 1통 (50일분),잘 받았어요 감사합니다 잘 억을게요 
23,락토핏 골드 1통 (50일분),"락토핏 너무 맛있어요 
잘 받았습니다 
늘 먹고있는 제품이랍니다 "
24,락토핏 골드 1통 (50일분),"잘받았습니다 
맛있어서 먹기 좋아요 
간편하게 챙겨먹을수 있어서 만족합니다 감사합니다 "
25,락토핏 골드 1통 (50일분),꾸준히 먹는 제품 중 하나에요~ 아가랑 남편이랑 셋이 다 잘먹어요! 상큼한 맛 때문에 아가도 자기 연령대꺼 안먹고 꼭 요고 먹으려고;; 근데 크게 문제없을것같아서 같이 먹는답니다ㅎ
26,락토핏 골드 1통 (50일분),하나씩 먹기 좋아요 색이 이뻐 기분 까지 건강해 지는 느낌이예요
27,락토핏 골드 1통 (50일분),새콤하고 먹기 좋아요 색상도 이쁜 노랑이라기분이 좋아져요 
28,락토핏 골드 1통 (50일분),슬림하고 양도 적당해서 매일 하나씩 먹기 좋아요 
29,락토핏 골드 1통 (50일분),"항상 챙겨 먹는 락토핏 유산균
부모님께 선물하기도 좋아서 자꾸 구매하게 되네요.
락토핏 정말 좋네요."
30,락토핏 골드 1통 (50일분),매일 아침마다 먹고 있습니다
31,락토핏 골드 1통 (50일분),매일 아침마다 먹고 있습니다
32,락토핏 골드 1통 (50일분),꾸준히 챙겨먹으니 변 보기도 편하고 평소에도 속이 편한거 같아요
33,락토핏 골드 1통 (50일분),와이프랑 둘이서 계속 먹고 있네요 안먹으면 이상할정도로 … 제품이야 워낙 유명하고 좋아서 다름말이 필요없지여 또 이용하겠습니다~~
34,락토핏 골드 1통 (50일분),아이가 맛있다며잘 먹어요. 저도 먹으니 좋네요
35,락토핏 골드 1통 (50일분),기존에 먹던것보다 맛이 괜찮아서 애들이 잘먹어요^^
36,락토핏 골드 1통 (50일분),추천합니다 아주아주 좋아요
37,락토핏 골드 1통 (50일분),너무 저렴하게 잘구매했어요 ㅎㅎ
38,락토핏 골드 1통 (50일분),가족들 매일 챙겨먹어요
39,락토핏 골드 1통 (50일분),늘 만족스럽게 먹고 있어요!!
40,락토핏 골드 1통 (50일분),오랜만에 착한 가격으로 구매하네요. 득템!ㅋㅋ.
41,락토핏 골드 1통 (50일분),필수품 다른것보다 맛있어요
42,락토핏 골드 1통 (50일분),항상 먹고있어요. 맛있어요
43,락토핏 골드 1통 (50일분),결과가 만족스러워 상시 복용하는 건강보조식품 중 하나입니다 
44,락토핏 골드 1통 (50일분),아이가 맛있다고 몇개씩 먹으려고해서 말렸어요ㅋㅋㅋㅋ
45,락토핏 골드 1통 (50일분),꾸준히 먹고있어요 좋아요 강추합니다 
46,락토핏 골드 1통 (50일분),"제일 무난하게 먹고 있는 유산균입니다
떨어지지 않게 항상 구비해두고 있어요
종근당건강몰에서 행사하면 저렴하고 좋네요"
47,락토핏 골드 1통 (50일분),"제일 무난하게 먹고 있는 유산균입니다
떨어지지 않게 항상 구비해두고 있어요
종근당건강몰에서 행사하면 저렴하고 좋네요"
48,락토핏 골드 1통 (50일분),빠른 배송 감사합니다 
49,락토핏 골드 1통 (50일분),아주 만족합니다. 좋아요 
50,락토핏 골드 1통 (50일분),빠른 배송 감사합니다 람쥐 
51,락토핏 골드 1통 (50일분),"진짜좋아요
살때마다 집에있는것보다 날짜가 늦은게올까요
그것말고는 최고입니다"
52,락토핏 골드 1통 (50일분),"온가족이 매일 복용하는 랏토핏유산균! 벌써 몇년째 꾸준히 먹는 제품이라 고민없이 구매했어요 
아이도 잘 먹어서 너무 좋아요 "
53,락토핏 골드 1통 (50일분),꾸준히 잘먹고잇어요 당케어도나와서 부모님 사드릴려구요 감사해요
54,락토핏 골드 1통 (50일분),역시 베스트 셀러라 맛도좋고 아주좋네요ㅎ
55,락토핏 골드 1통 (50일분),온국민이 다. 알만한상품 유산균  매일아침 루틴으로 복용하는 유산균 맛도과일향이 나서. 아이포함. 거부감없이. 복용할수 있어 편하다
56,락토핏 골드 1통 (50일분),싼가격에잘사서먹슨다
57,락토핏 골드 1통 (50일분),온가족이 먹을수있어서 좋아요!!!!! 배송도 빠르교 포장도 꼼꼼합니다^ ^
58,락토핏 골드 1통 (50일분),늘 먹고있는 유산균이랍니다!!
59,락토핏 골드 1통 (50일분),너무 먹기 편하고 맛있고 효과가 좋아서 계속 재구매하는 상품이에요. 아주 만족합니다. 배송도 빨라서 더 좋았어요. 
60,락토핏 골드 1통 (50일분),유산균 이것만 먹어요. 이벤트 자주 해주세요. ~~~~
61,락토핏 골드 1통 (50일분),락도핏 없으면안되요 굿
62,락토핏 골드 1통 (50일분),"매일  잘챙겨먹고있어요.
감사합니다."
63,락토핏 골드 1통 (50일분),장건강을 위해서 열심히 먹고있습니다. 맛도 좋고 섭취도 편합니다.
64,락토핏 골드 1통 (50일분),원래 먹던거라 만족합니다
65,락토핏 골드 1통 (50일분),광고에서 많이봤는데 먹기에도 좋고 맛도 좋아요. 꾸준히 복용해야 겠어요
66,락토핏 골드 1통 (50일분),"맛도 좋고 건강에도 좋은 락토핏, 아이들이 알아서 챙겨먹어요! 하나씩 톡톡 간식 먹듯 재밌게 먹습니다."
67,락토핏 골드 1통 (50일분),"배송이 빠르네요.
손으로 쉽게 개봉 되어 언제나 어디에서든 갖고 다니면서 먹기 좋네요.
가루형이라 입에 쏘옥 털어 넣으면 되어 온가족이 잘 먹고 있어요."
68,락토핏 골드 1통 (50일분),"이지컷이라 손으로 쉽게 개봉 되어 언제 어디에서나 휴대하면서 먹기에도 좋네요.
가루타입이라 먹기 편해요.
온가족이 잘 먹고 있어요."
69,락토핏 골드 1통 (50일분),저렴하게잘구입했어요ㅎㅎ
70,락토핏 골드 1통 (50일분),"배송도 빠르고 포장상태도 꼼꼼하게 도착해서 만족합니다 
특히 예민한 장이었는데, 락토핏 유산균 먹고 훨씬 좋아져서 감사합니다~"
71,락토핏 골드 1통 (50일분),잘산거같아 만족스럽네요ㅎㅎ
72,락토핏 골드 1통 (50일분),락토핏 잘 받았습니다 
73,락토핏 골드 1통 (50일분),락토핏 잘 받았습니다 
74,락토핏 골드 1통 (50일분),친구초대하고 적립금으로 가볍게 구입했네요^^ 두번째인데 맛나고 좋아요 감사^^
75,락토핏 골드 1통 (50일분),남편이 애정하는 유산균입니다. 종근당에서 매번 잘 사고 있어요
76,락토핏 골드 1통 (50일분),좋은 가격에 잘 샀어요. 먹기 편하게 알약 형태로도 나오면 더 좋을거 같아요
77,락토핏 골드 1통 (50일분),늘 먹는 유산균입니다
78,락토핏 골드 1통 (50일분),늘 먹는 유산균입니다
79,락토핏 골드 1통 (50일분),늘 먹는 유산균입니다
80,락토핏 골드 1통 (50일분),좋은제품 싸게 잘샀어요.
81,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
82,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
83,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
84,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
85,락토핏 골드 1통 (50일분),락토핏골드 좋아요!
86,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
87,락토핏 골드 1통 (50일분),락토핏골드 저렴하게샀어요
88,락토핏 골드 1통 (50일분),락토핏저렴해요 ~~
89,락토핏 골드 1통 (50일분),구매해서 잘 먹고 있습니다
90,락토핏 골드 1통 (50일분),평소에도 구매해서 먹고있습니다.
91,락토핏 골드 1통 (50일분),"항상 잘 먹고 있어요
좋은 가격에 감사합니다~"
92,락토핏 골드 1통 (50일분),항상 먹는 제품이예요
93,락토핏 골드 1통 (50일분),쿠폰행사로 정말 싸게 구매~맛도 좋고 효과도 좋고
94,락토핏 골드 1통 (50일분),싸게 잘 구매했고 잘먹고 있어요
95,락토핏 골드 1통 (50일분),믿고 먹눈 랏토핏~아주 좋아오
96,락토핏 골드 1통 (50일분),락토핏 좋아요 맛나요
97,락토핏 골드 1통 (50일분),락토핏 맛있고 좋아요
98,락토핏 골드 1통 (50일분),아침마다 하나씩 먹기편해서 좋네요 !
99,락토핏 골드 1통 (50일분),"떨어지면 약간 불안합니다. 
신경써서 쟁여 놔야해요. 
감사합니다 "
